BGA112,Name,Type,IO,Alternate,Additional
C2 ,PA0 ,I/O,FT,TIM0_CH0/I2C0_SDA,GPIO_EM4WU0
C1 ,PA1 ,I/O,FT,TIM0_CH1/I2C0_SCL,LCD_SEG14
0  ,PA2 ,I/O,FT,,
0  ,PA3 ,I/O,FT,,
E3 ,PA4 ,I/O,FT,TIM0_DTI1,LCD_SEG17
E2 ,PA5 ,I/O,FT,TIM0_DTI2,LCD_SEG18
E1 ,PA6 ,I/O,FT,,LCD_SEG19/GPIO_EM4WU1
H4 ,PA7 ,I/O,FT,,LCD_SEG35
H5 ,PA8 ,I/O,FT,TIM2_CH0,LCD_SEG36
J5 ,PA9 ,I/O,FT,TIM2_CH1,LCD_SEG37
J6 ,PA10,I/O,FT,TIM2_CH2,LCD_SEG38
K5 ,PA11,I/O,FT,,LCD_SEG39
J4 ,PA12,I/O,FT,,LCD_BCAP
K3 ,PA13,I/O,FT,,
L3 ,PA14,I/O,FT,,LCD_BEXT
B1 ,PA15,I/O,FT,TIM3_CH2,
E4 ,PB0 ,I/O,FT,,LCD_SEG32
F1 ,PB1 ,I/O,FT,,LCD_SEG33
F2 ,PB2 ,I/O,FT,,LCD_SEG34
F3 ,PB3 ,I/O,FT,,LCD_SEG20/LCD_COM4
F4 ,PB4 ,I/O,FT,,LCD_SEG21/LCD_COM5
G1 ,PB5 ,I/O,FT,,LCD_SEG22/LCD_COM6
G2 ,PB6 ,I/O,FT,,LCD_SEG23/LCD_COM7
K1 ,PB7 ,I/O,FT,USART1_CK,OSC32_IN
L1 ,PB8 ,I/O,FT,USART1_CS,OSC32_OUT
J7 ,PB9 ,I/O,FT,,
J8 ,PB10,I/O,FT,,
L5 ,PB11,I/O,FT,,DAC0_OUT0
L6 ,PB12,I/O,FT,,DAC0_OUT1
L8,PB13,I/O,FT,,OSC_OUT
L9,PB14,I/O,FT,,OSC_IN
D3,PB15,I/O,FT,,
H1 ,PC0 ,I/O,FT,USART1_TX,ACMP0_CH0
J1 ,PC1 ,I/O,FT,USART1_RX,ACMP0_CH1
H2 ,PC2 ,I/O,FT,USART2_TX,ACMP0_CH2
J2 ,PC3 ,I/O,FT,USART2_RX,ACMP0_CH3
K2 ,PC4 ,I/O,FT,USART2_CK/I2C1_SDA,ACMP0_CH4
L2 ,PC5 ,I/O,FT,USART2_CS/I2C1_SCL,ACMP0_CH5
G10,PC6 ,I/O,FT,LEUART1_TX,ACMP0_CH6
G11,PC7 ,I/O,FT,LEUART1_RX,ACMP0_CH7
D10,PC8 ,I/O,FT,,ACMP1_CH0
D11,PC9 ,I/O,FT,,ACMP1_CH1/GPIO_EM4WU2
C10,PC10,I/O,FT,,ACMP1_CH2
C11,PC11,I/O,FT,,ACMP1_CH3
0  ,PC12,I/O,FT,,ACMP1_CH4
0  ,PC13,I/O,FT,,ACMP1_CH5
0  ,PC14,I/O,FT,,ACMP1_CH6
0  ,PC15,I/O,FT,,ACMP1_CH7
L11,PD0 ,I/O,FT,,ADC1_IN0
