LFBGA100,LQFP48,TFBGA64,LQFP64,LQFP100,VFQFPN36,Name,Type,IO,After Reset,Default,Remap
A3,0,,0,1,0,PE2,I/O,FT,PE2,TRACECK,
B3,0,,0,2,0,PE3,I/O,FT,PE3,TRACED0,
C3,0,,0,3,0,PE4,I/O,FT,PE4,TRACED1,
D3,0,,0,4,0,PE5,I/O,FT,PE5,TRACED2,
E3,0,,0,5,0,PE6,I/O,FT,PE6,TRACED3,
B2,1,B2,1,6,0,VBAT,S,,VBAT,,
A2,2,A2,2,7,0,PC13-TAMPERRTC(5),I/O,,PC13,TAMPER-RTC,I/O
A1,3,A1,3,8,0,PC14-OSC32_IN(5),I/O,,PC14,OSC32_IN,I/O
B1,4,B1,4,9,0,PC15-OSC32_OUT(5),I/O,,PC15,OSC32_OUT,I/O
C2,0,0,0,10,0,VSS_5,S,,VSS_5,,
D2,0,0,0,11,0,VDD_5,S,,VDD_5,,
C1,5,C1,5,12,2,OSC_IN,I,,OSC_IN,,
D1,6,D1,6,13,3,OSC_OUT,O,,OSC_OUT,,
E1,7,E1,7,14,4,NRST,I/O,,NRST,,
F1,0,E3,8,15,0,PC0,I/O,,PC0,ADC12_IN10,
F2,0,E2,9,16,0,PC1,I/O,,PC1,ADC12_IN11,
E2,0,F2,10,17,0,PC2,I/O,,PC2,ADC12_IN12,
F3,0,-(7),11,18,0,PC3,I/O,,PC3,ADC12_IN13,
G1,8,F1,12,19,5,VSSA,S,,VSSA,,
H1,0,0,0,20,0,VREF-,S,,VREFJ1,,
J1,0,G1(7),0,21,0,VREF+,S,,VREF+,,
K1,9,H1,13,22,6,VDDA,S,,VDDA,,
G2,10,G2,14,23,7,PA0-WKUP,I/O,,PA0,WKUP/USART2_CTS/ADC12_IN0/TIM2_CH1_ETR,
H2,11,H2,15,24,8,PA1,I/O,,PA1,USART2_RTS/ADC12_IN1/TIM2_CH2,
J2,12,F3,16,25,9,PA2,I/O,,PA2,USART2_TX/ADC12_IN2/TIM2_CH3,
K2,13,G3,17,26,10,PA3,I/O,,PA3,USART2_RX/ADC12_IN3/TIM2_CH4,
E4,0,C2,18,27,0,VSS_4,S,,VSS_4,,
F4,0,D2,19,28,0,VDD_4,S,,VDD_4,,
G3,14,H3,20,29,11,PA4,I/O,,PA4,SPI1_NSS/USART2_CK/ADC12_IN4,
H3,15,F4,21,30,12,PA5,I/O,,PA5,SPI1_SCK/ADC12_IN5,
J3,16,G4,22,31,13,PA6,I/O,,PA6,SPI1_MISO/ADC12_IN6/TIM3_CH1,TIM1_BKIN
K3,17,H4,23,32,14,PA7,I/O,,PA7,SPI1_MOSI/ADC12_IN7/TIM3_CH2,TIM1_CH1N
G4,0,H5,24,33,,PC4,I/O,PC4,,ADC12_IN14,
H4,0,H6,25,34,,PC5,I/O,PC5,,ADC12_IN15,
J4,18,F5,26,35,15,PB0,I/O,,PB0,ADC12_IN8/TIM3_CH3,TIM1_CH2N
K4,19,G5,27,36,16,PB1,I/O,,PB1,ADC12_IN9/TIM3_CH4,TIM1_CH3N
G5,20,G6,28,37,17,PB2,I/O,FT,PB2/BOOT1,,
H5,0,0,0,38,0,PE7,I/O,FT,PE7,,TIM1_ETR
J5,0,0,0,39,0,PE8,I/O,FT,PE8,,TIM1_CH1N
