LFBGA144,LFBGA100,WLCSP64,LQFP64,LQFP100,LQFP144,Name,Type,IO,After Reset,Default,Remap
A3,A3,0,0,1,1,PE2,I/O,FT,PE2,TRACECK/FSMC_A23,
A2,B3,0,0,2,2,PE3,I/O,FT,PE3,TRACED0/FSMC_A19,
B2,C3,0,0,3,3,PE4,I/O,FT,PE4,TRACED1/FSMC_A20,
B3,D3,0,0,4,4,PE5,I/O,FT,PE5,TRACED2/FSMC_A21,
B4,E3,0,0,5,5,PE6,I/O,FT,PE6,TRACED3/FSMC_A22,
C2,B2,C6,1,6,6,VBAT,S,VBAT,,,
A1,A2,C8,2,7,7,PC13-TAMPER-RTC,I/O,,PC13,TAMPER-RTC,
B1,A1,B8,3,8,8,PC14-OSC32_IN,I/O,,PC14,OSC32_IN,
C1,B1,B7,4,9,9,PC15-OSC32_OUT,I/O,,PC15,OSC32_OUT,
C3,0,0,0,0,10,PF0,I/O,FT,PF0,FSMC_A0,
C4,0,0,0,0,11,PF1,I/O,FT,PF1,FSMC_A1,
D4,0,0,0,0,12,PF2,I/O,FT,PF2,FSMC_A2,
E2,0,0,0,0,13,PF3,I/O,FT,PF3,FSMC_A3,
E3,0,0,0,0,14,PF4,I/O,FT,PF4,FSMC_A4,
E4,0,0,0,0,15,PF5,I/O,FT,PF5,FSMC_A5,
D2,C2,0,0,10,16,VSS_5,S,,VSS_5,,
D3,D2,0,0,11,17,VDD_5,S,,VDD_5,,
F3,0,0,0,0,18,PF6,I/O,,PF6,ADC3_IN4/FSMC_NIORD,
F2,0,0,0,0,19,PF7,I/O,,PF7,ADC3_IN5/FSMC_NREG,
G3,0,0,0,0,20,PF8,I/O,,PF8,ADC3_IN6/FSMC_NIOWR,
G2,0,0,0,0,21,PF9,I/O,,PF9,ADC3_IN7/FSMC_CD,
G1,0,0,0,0,22,PF10,I/O,,PF10,ADC3_IN8/FSMC_INTR,
D1,C1,D8,5,12,23,OSC_IN,I,,OSC_IN,,
E1,D1,D7,6,13,24,OSC_OUT,O,,OSC_OUT,,
F1,E1,C7,7,14,25,NRST,I/O,,NRST,,
H1,F1,E8,8,15,26,PC0,I/O,,PC0,ADC123_IN10,
H2,F2,F8,9,16,27,PC1,I/O,,PC1,ADC123_IN11,
H3,E2,D6,10,17,28,PC2,I/O,,PC2,ADC123_IN12,
H4,F3,0,11,18,29,PC3,I/O,,PC3,ADC123_IN13,
J1,G1,E7,12,19,30,VSSA,S,,VSSA,,
K1,H1,0,0,20,31,VREF-,S,,VREF-,,
L1,J1,F7,0,21,32,VREF+,S,,VREF+,,
M1,K1,G8,13,22,33,VDDA,S,,VDDA,,
J2,G2,F6,14,23,34,PA0-WKUP,I/O,,PA0,WKUP/USART2_CTS/ADC123_IN0/TIM2_CH1_ETR/TIM5_CH1/TIM8_ETR,
K2,H2,E6,15,24,35,PA1,I/O,,PA1,USART2_RTS/ADC123_IN1/TIM5_CH2/TIM2_CH2,
L2,J2,H8,16,25,36,PA2,I/O,,PA2,USART2_TX/TIM5_CH3/ADC123_IN2/TIM2_CH3,
M2,K2,G7,17,26,37,PA3,I/O,,PA3,USART2_RX/TIM5_CH4/ADC123_IN3/TIM2_CH4,
G4,E4,F5,18,27,38,VSS_4,S,,VSS_4,,
F4,F4,G6,19,28,39,VDD_4,S,,VDD_4,,
J3,G3,H7,20,29,40,PA4,I/O,,PA4,SPI1_NSS/USART2_CK/DAC_OUT1/ADC12_IN4,
K3,H3,E5,21,30,41,PA5,I/O,,PA5,SPI1_SCK/DAC_OUT2/ADC12_IN5,
L3,J3,G5,22,31,42,PA6,I/O,,PA6,SPI1_MISO/TIM8_BKIN/ADC12_IN6/TIM3_CH1,TIM1_BKIN
M3,K3,G4,23,32,43,PA7,I/O,,PA7,SPI1_MOSI/TIM8_CH1N/ADC12_IN7/TIM3_CH2,TIM1_CH1N
J4,G4,H6,24,33,44,PC4,I/O,,PC4,ADC12_IN14,
