LQFP100,LQFP64,LQFP48,Name,Type,IO,Alternate,Additional
1,,,PE2,I/O,FT,TRACECK/TIM3_CH1/TSC_G7_IO1,
2,,,PE3,I/O,FT,TRACED0/TIM3_CH2/TSC_G7_IO2,
3,,,PE4,I/O,FT,TRACED1/TIM3_CH3/TSC_G7_IO3,
4,,,PE5,I/O,FT,TRACED2/TIM3_CH4/TSC_G7_IO4,
5,,,PE6,I/O,FT,TRACED3,WKUP3/RTC_TAMP3
6,1,1,VBAT,S,,Backup power supply,
7,2,2,PC13,I/O,TC,TIM1_CH1N,WKUP2/RTC_TAMP1/RTC_TS/RTC_OUT
8,3,3,PC14-OSC32_IN(PC14),I/O,TC,,OSC32_IN
9,4,4,PC15-OSC32_OUT(PC15),I/O,TC,,OSC32_OUT
10,,,PF9,I/O,FT,TIM15_CH1/SPI2_SCK,
11,,,PF10,I/O,FT,TIM15_CH2/SPI2_SCK,
12,5,5,PF0-OSC_IN(PF0),I/O,FTf,TIM1_CH3N/I2C2_SDA,OSC_IN
13,6,6,PF1-OSC_OUT(PF1),I/O,FTf,I2C2_SCL,OSC_OUT
14,7,7,NRST,I/O,RST,Device reset input/internal reset output (active low),
15,8,,PC0,I/O,TTa,,ADC12_IN6/COMP7_INM
16,9,,PC1,I/O,TTa,,ADC12_IN7/COMP7_INP
17,10,,PC2,I/O,TTa,COMP7_OUT,ADC12_IN8
18,11,,PC3,I/O,TTa,TIM1_BKIN2,ADC12_IN9
19,,,PF2,I/O,TTa,,ADC12_IN10
20,12,8,VSSA/VREFS,,,Analog ground/Negative reference voltage,
21,,,VREF+,S,,Positive reference voltage,
22,,,VDDA,S,,Analog power supply,
,13,9,VDDA/VREF+,S,,Analog power supply/Positive reference voltage,
23,14,10,PA0,I/O,TTa,USART2_CTS/TIM2_CH1_ETR/TIM8_BKIN/TIM8_ETR/TSC_G1_IO1/COMP1_OUT,ADC1_IN1/COMP1_INM/RTC_TAMP2/WKUP1/COMP7_INP
24,15,11,PA1,I/O,TTa,USART2_RTS/TIM2_CH2/TSC_G1_IO2/TIM15_CH1N,ADC1_IN2/COMP1_INP/OPAMP1_VINP/OPAMP3_VINP
25,16,12,PA2,I/O,TTa,USART2_TX/TIM2_CH3/TIM15_CH1/TSC_G1_IO3/COMP2_OUT,ADC1_IN3/COMP2_INM/AOP1_OUT
26,17,13,PA3,I/O,TTa,USART2_RX/TIM2_CH4/TIM15_CH2/TSC_G1_IO4,ADC1_IN4/OPAMP1_VINP/COMP2_INP/OPAMP1_VINM
27,18,,PF4,I/O,TTa,COMP1_OUT,ADC1_IN5
28,19,,VDD_4,S,(1),,
29,20,14,PA4,I/O,TTa,SPI1_NSS/SPI3_NSS/I2S3_WS/USART2_CK/TSC_G2_IO1/TIM3_CH2,ADC2_IN1/DAC1_OUT1/OPAMP4_VINP/COMP1_INM4/COMP2_INM4/COMP3_INM4/COMP4_INM4/COMP5_INM4/COMP6_INM4/COMP7_INM4
30,21,15,PA5,I/O,TTa,SPI1_SCK/TIM2_CH1_ETR/TSC_G2_IO2,ADC2_IN2/DAC1_OUT2/OPAMP1_VINP/OPAMP2_VINM/OPAMP3_VINP/COMP1_INM5/COMP2_INM5/COMP3_INM5/COMP4_INM5/COMP5_INM5/COMP6_INM5/COMP7_INM5
31,22,16,PA6,I/O,TTa,SPI1_MISO/TIM3_CH1/TIM8_BKIN/TIM1_BKIN/TIM16_CH1/COMP1_OUT/TSC_G2_IO3,ADC2_IN3/AOP2_OUT
32,23,17,PA7,I/O,TTa,SPI1_MOSI/TIM3_CH2/TIM17_CH1/TIM1_CH1N/TIM8_CH1N/TSC_G2_IO4/COMP2_OUT,ADC2_IN4/COMP2_IN/OPAMP2_VINP/OPAMP1_VINP
33,24,,PC4,I/O,TTa,USART1_TX,ADC2_IN5
34,25,,PC5,I/O,TTa,USART1_RX/TSC_G3_IO1ADC2_IN11/OPAMP2_VINM/OPAMP1_VINM,ADC2_IN11/OPAMP2_VINM/OPAMP1_VINM
35,26,18,PB0,I/O,TTa,TIM3_CH3/TIM1_CH2N/TIM8_CH2N/TSC_G3_IO2,ADC3_IN12/COMP4_INP/OPAMP3_VINP/OPAMP2_VINP
36,27,19,PB1,I/O,TTa,TIM3_CH4/TIM1_CH3N/TIM8_CH3N/COMP4_OUT/TSC_G3_IO3,ADC3_IN1/AOP3_OUT
37,28,20,PB2,I/O,TTa,TSC_G3_IO4,ADC2_IN12/COMP4_INM/OPAMP3_VINM
38,,,PE7,I/O,TTa,TIM1_ETR,ADC3_IN13/COMP4_INP
39,,,PE8,I/O,TTa,TIM1_CH1N,COMP4_INM/ADC34_IN6
40,,,PE9,I/O,TTa,TIM1_CH1,ADC3_IN2
41,,,PE10,I/O,TTa,TIM1_CH2N,ADC3_IN14
42,,,PE11,I/O,TTa,TIM1_CH2,ADC3_IN15
43,,,PE12,I/O,TTa,TIM1_CH3N,ADC3_IN16
44,,,PE13,I/O,TTa,TIM1_CH3,ADC3_IN3
45,,,PE14,I/O,TTa,TIM1_CH4/TIM1_BKIN2,ADC4_IN1
46,,,PE15,I/O,TTa,USART3_RX/TIM1_BKIN,ADC4_IN2
47,29,21,PB10,I/O,TTa,USART3_TX/TIM2_CH3/TSC_SYNC,COMP5_INM/OPAMP4_VINM/OPAMP3_VINM
