AF n° ,Port & Pin ,AF0 ,AF1 ,AF2 ,AF3 ,AF4 ,AF5 ,AF6 ,AF7 ,AF8 ,AF9 ,AF10 ,AF11 ,AF12 ,AF13,AF14 ,AF15 ,Name ,,,,,,,,,,,,,,,,
7,PA0 ,,TIM2_CH1_ETR ,,TSC_G1_IO1 ,,,,USART2_CTS ,COMP1_OUT ,TIM8_BKIN ,TIM8_ETR ,,,,,EVENT OUT
5,PA1 ,,TIM2_CH2 ,,TSC_G1_IO2 ,,,,USART2_RTS ,,TIM15_CH1N ,,,,,,EVENT OUT
6,PA2 ,,TIM2_CH3 ,,TSC_G1_IO3 ,,,,USART2_TX ,COMP2_OUT ,TIM15_CH1 ,,,,,,EVENT OUT
5,PA3 ,,TIM2_CH4 ,,TSC_G1_IO4 ,,,,USART2_RX ,,TIM15_CH2 ,,,,,,EVENT OUT ,,,,,,,,SPI3_,,,,,,,,,
6,PA4 ,,,TIM3_CH2 ,TSC_G2_IO1 ,,SPI1_NSS ,NSS/ I2S3_,USART2_CK ,,,,,,,,EVENT OUT ,,,,,,,,WS ,,,,,,,,,
4,PA5 ,,TIM2_CH1_ETR ,,TSC_G2_IO2 ,,SPI1_SCK ,,,,,,,,,,EVENT OUT 
8,PA6 ,,TIM16_CH1 ,TIM3_CH1 ,TSC_G2_IO3 ,TIM8_BKIN ,SPI1_MISO ,TIM1_BKIN ,,COMP1_OUT ,,,,,,,EVENT OUT 
8,PA7 ,,TIM17_CH1 ,TIM3_CH2 ,TSC_G2_IO4 ,TIM8_CH1N ,SPI1_MOSI ,TIM1_CH1N ,,COMP2_OUT ,,,,,,,EVENT OUT 
8,PA8 ,MCO ,,,,I2C2_SMBA ,I2S2_MCK ,TIM1_CH1 ,USART1_CK ,COMP3_OUT ,,TIM4_ETR ,,,,,EVENT OUT 
9,PA9 ,,,,TSC_G4_IO1 ,I2C2_SCL ,I2S3_MCK ,TIM1_CH2 ,USART1_TX ,COMP5_OUT ,TIM15_BKIN ,TIM2_CH3 ,,,,,EVENT OUT 
9,PA10 ,,TIM17_BKIN ,,TSC_G4_IO2 ,I2C2_SDA ,,TIM1_CH3 ,USART1_RX ,COMP6_OUT ,,TIM2_CH4 ,TIM8_BKIN ,,,,EVENT OUT 
9,PA11 ,,,,,,,TIM1_CH1N ,USART1_CTS ,COMP1_OUT ,CAN_RX ,TIM4_CH1 ,TIM1_CH4 ,TIM1_BKIN2 ,,USBDM ,EVENT OUT 
