UQFN48,WLCSP49,LQFP64,LQFP100,UFBGA100,Name,Type,IO,Alternate,Additional
0,0,0,1,B2,PE2,I/O,FT,TRACECLK/EVENTOUT,
0,0,0,2,A1,PE3,I/O,FT,TRACED0/EVENTOUT,
0,0,0,3,B1,PE4,I/O,FT,TRACED1/EVENTOUT,
0,0,0,4,C2,PE5,I/O,FT,TIM9_CH1/TRACED2/EVENTOUT,
0,0,0,5,D2,PE6,I/O,FT,TIM9_CH2/TRACED3/EVENTOUT,
0,0,0,0,D3,VSS,S,,,
0,0,0,0,C4,VDD,S, ,,
1,B7,1,6,E2,VBAT,S, ,,
2,D5,2,7,C1,PC13-ANTI_TAMP,I/O,FT,EVENTOUT,RTC_TAMP1/RTC_OUT/RTC_TS
3,C7,3,8,D1,PC14-OSC32_IN(PC14),I/O,FT,EVENTOUT,OSC32_IN
4,0,4,9,E1,PC15-OSC32_OUT(PC15),I/O,FT,EVENTOUT,OSC32_OUT
0,0,0,10,F2,VSS,S,,,
0,0,0,11,G2,VDD,S,,,
5,D7,5,12,F1,PH0-OSC_IN(PH0),I/O,FT,EVENTOUT,OSC_IN
6,D6,6,13,G1,PH1-OSC_OUT(PH1),I/O,FT,EVENTOUT,OSC_OUT
7,E7,7,14,H2,NRST,I/O,RST,EVENTOUT,
0,0,8,15,H1,PC0,I/O,FT,EVENTOUT,ADC1_IN10
0,0,9,16,J2,PC1,I/O,FT,EVENTOUT,ADC1_IN11
0,0,10,17,J3,PC2,I/O,FT,SPI2_MISO/I2S2ext_SD/EVENTOUT,ADC1_IN12
0,0,11,18,K2,PC3,I/O,FT,SPI2_MOSI/I2S2_SD/EVENTOUT,ADC1_IN13
0,0,0,19,0,VDD,S,,,
8,E6,12,20,0,VSSA-VREF-,S,,,
0,0,0,0,J11,VSSA,S,,,
0,0,0,0,K1,VREF-,S,,,
9,0,13,0,0,VDDA-VREF+,S,,,
0,0,0,21,L1,VREF+,S,,,
0,F7,0,22,M1,VDDA,S,,,
10,F6,14,23,L2,PA0-WKUP(PA0),I/O,FT,USART2_CTS/TIM2_CH1/TIM2_ETR/TIM5_CH1/EVENTOUT,ADC1_IN0/WKUP
11,G7,15,24,M2,PA1,I/O,FT,USART2_RTS/TIM2_CH2/TIM5_CH2/EVENTOUT,ADC1_IN1
12,E5,16,25,K3,PA2,I/O,FT,USART2_TX/TIM5_CH3/TIM9_CH1/TIM2_CH3/EVENTOUT,ADC1_IN2
13,E4,17,26,L3,PA3,I/O,FT,USART2_RX/TIM5_CH4/TIM9_CH2/TIM2_CH4/EVENTOUT,ADC1_IN3
0,0,18,27,0,VSS,S,,,
0,0,19,28,0,VDD,S,,,
0,0,0,0,E3,BYPASS_REG,I,FT,,
14,G6,20,29,M3,PA4,I/O,FT,SPI1_NSS/SPI3_NSS/USART2_CK/I2S3_WS/EVENTOUT,ADC1_IN4
15,F5,21,30,K4,PA5,I/O,FT,SPI1_SCK/TIM2_CH1/TIM2_ETR/EVENTOUT,ADC1_IN5
16,F4,22,31,L4,PA6,I/O,FT,SPI1_MISO/TIM3_CH1/TIM1_BKIN/EVENTOUT,ADC1_IN6
17,F3,23,32,M4,PA7,I/O,FT,SPI1_MOSI/TIM3_CH2/TIM1_CH1N/EVENTOUT,ADC1_IN7
0,0,24,33,K5,PC4,I/O,FT,EVENTOUT,ADC1_IN14
0,0,25,34,L5,PC5,I/O,FT,EVENTOUT,ADC1_IN15
18,G5,26,35,M5,PB0,I/O,FT,TIM3_CH3/TIM1_CH2N/EVENTOUT,ADC1_IN8
19,G4,27,36,M6,PB1,I/O,FT,TIM3_CH4/TIM1_CH3N/EVENTOUT,ADC1_IN9
20,G3,28,37,L6,PB2-BOOT1(PB2),I/O,FT,EVENTOUT,
0,0,0,38,M7,PE7,I/O,FT,TIM1_ETR/EVENTOUT,
0,0,0,39,L7,PE8,I/O,FT,TIM1_CH1N/EVENTOUT,
0,0,0,40,M8,PE9,I/O,FT,TIM1_CH1/EVENTOUT,
0,0,0,41,L8,PE10,I/O,FT,TIM1_CH2N/EVENTOUT,
0,0,0,42,M9,PE11,I/O,FT,TIM1_CH2/EVENTOUT,
0,0,0,43,L9,PE12,I/O,FT,TIM1_CH3N/EVENTOUT,
0,0,0,44,M10,PE13,I/O,FT,TIM1_CH3/EVENTOUT,
0,0,0,45,M11,PE14,I/O,FT,TIM1_CH4/EVENTOUT,
0,0,0,46,M12,PE15,I/O,FT,TIM1_BKIN/EVENTOUT,
21,E3,29,47,L10,PB10,I/O,FT,SPI2_SCK/I2S2_CK/I2C2_SCL/TIM2_CH3/EVENTOUT,
0,0,0,0,K9,PB11,I/O,FT,EVENTOUT,
22,G2,30,48,L11,VCAP_1,S,,,
23,D3,31,49,F12,VSS,S,,,
24,F2,32,50,G12,VDD,S,,,
25,E2,33,51,L12,PB12,I/O,FT,SPI2_NSS/I2S2_WS/I2C2_SMBA/TIM1_BKIN/EVENTOUT,
26,G1,34,52,K12,PB13,I/O,FT,SPI2_SCK/I2S2_CK/TIM1_CH1N/EVENTOUT,
27,F1,35,53,K11,PB14,I/O,FT,SPI2_MISO/TIM1_CH2N/I2S2ext_SD/EVENTOUT,
28,E1,36,54,K10,PB15,I/O,FT,SPI2_MOSI/I2S2_SD/TIM1_CH3N/EVENTOUT,RTC_REFIN
0,0,0,55,0,PD8,I/O,FT,EVENTOUT,
0,0,0,56,K8,PD9,I/O,FT,EVENTOUT,
0,0,0,57,J12,PD10,I/O,FT,EVENTOUT,
0,0,0,58,J11,PD11,I/O,FT,EVENTOUT,
0,0,0,59,J10,PD12,I/O,FT,TIM4_CH1/EVENTOUT,
0,0,0,60,H12,PD13,I/O,FT,TIM4_CH2/EVENTOUT,
0,0,0,61,H11,PD14,I/O,FT,TIM4_CH3/EVENTOUT,
0,0,0,62,H10,PD15,I/O,FT,TIM4_CH4/EVENTOUT,
0,0,37,63,E12,PC6,I/O,FT,I2S2_MCK/SDIO_D6/USART6_TX/TIM3_CH1/EVENTOUT,
0,0,38,64,E11,PC7,I/O,FT,I2S3_MCK/SDIO_D7/USART6_RX/TIM3_CH2/EVENTOUT,
0,0,39,65,E10,PC8,I/O,FT,SDIO_D0/TIM3_CH3/USART6_CK/EVENTOUT,
0,0,40,66,D12,PC9,I/O,FT,I2S_CKIN/MCO_2/SDIO_D1/I2C3_SDA/TIM3_CH4/EVENTOUT,
29,D1,41,67,D11,PA8,I/O,FT,MCO+1/USART1_CK/TIM1_CH1/I2C3_SCL/OTG_FS_SOF/EVENTOUT,
