LQFP64,WLCSP90,LQFP100,LQFP144,UFBGA176,LQFP176,Name,Type,IO,Alternate,Additional
0,0,1,1,A2,1,PE2,I/O,FT,TRACECLK/FSMC_A23/ETH_MII_TXD3/EVENTOUT,
0,0,2,2,A1,2,PE3,I/O,FT,TRACED0/FSMC_A19/EVENTOUT,
0,0,3,3,B1,3,PE4,I/O,FT,TRACED1/FSMC_A20/DCMI_D4/EVENTOUT,
0,0,4,4,B2,4,PE5,I/O,FT,TRACED2/FSMC_A21/TIM9_CH1/DCMI_D6/EVENTOUT,
0,0,5,5,B3,5,PE6,I/O,FT,TRACED3/FSMC_A22/TIM9_CH2/DCMI_D7/EVENTOUT,
1,A10,6,6,C1,6,VBAT,S,,,
0,0,0,0,D2,7,PI8,I/O,FT,EVENTOUT,RTC_AF2
2,A9,7,7,D1,8,PC13,I/O,FT,EVENTOUT,RTC_AF1
3,B10,8,8,E1,9,PC14-OSC32_IN(PC14),I/O,FT,EVENTOUT,OSC32_IN(4)
4,B9,9,9,F1,10,PC15-OSC32_OUT(PC15),I/O,FT,EVENTOUT,OSC32_OUT(4)
0,0,0,0,D3,11,PI9,I/O,FT,CAN1_RX/EVENTOUT,
0,0,0,0,E3,12,PI10,I/O,FT,ETH_MII_RX_ER/EVENTOUT,
0,0,0,0,E4,13,PI11,I/O,FT,OTG_HS_ULPI_DIR/EVENTOUT,
0,0,0,0,F2,14,VSS,S,,,
0,0,0,0,F3,15,VDD,S,,,
0,0,0,10,E2,16,PF0,I/O,FT,FSMC_A0/I2C2_SDA/EVENTOUT,
0,0,0,11,H3,17,PF1,I/O,FT,FSMC_A1/I2C2_SCL/EVENTOUT,
0,0,0,12,H2,18,PF2,I/O,FT,FSMC_A2/I2C2_SMBA/EVENTOUT,
0,0,0,13,J2,19,PF3,I/O,FT,FSMC_A3/EVENTOUT,ADC3_IN9
0,0,0,14,J3,20,PF4,I/O,FT,FSMC_A4/EVENTOUT,ADC3_IN14
0,0,0,15,K3,21,PF5,I/O,FT,FSMC_A5/EVENTOUT,ADC3_IN15
0,C9,10,16,G2,22,VSS,S,,,
0,B8,11,17,G3,23,VDD,S,,,
0,0,0,18,K2,24,PF6,I/O,FT,TIM10_CH1/FSMC_NIORD/EVENTOUT,ADC3_IN4
0,0,0,19,K1,25,PF7,I/O,FT,TIM11_CH1/FSMC_NREG/EVENTOUT,ADC3_IN5
0,0,0,20,L3,26,PF8,I/O,FT,TIM13_CH1/FSMC_NIOWR/EVENTOUT,ADC3_IN6
0,0,0,21,L2,27,PF9,I/O,FT,TIM14_CH1/FSMC_CD/EVENTOUT,ADC3_IN7
0,0,0,22,L1,28,PF10,I/O,FT,FSMC_INTR/EVENTOUT,ADC3_IN8
