UQFN48,WLCSP49,LQFP64,LQFP100,UFBGA176,LQFP144,Name,Type,IO,Alternate,Additional
0,0,0,0,B2,1,PE2,I/O,FT,TRACECLK/SAI1_MCLK_A/EVENTOUT,
0,0,0,0,A1,2,PE3,I/O,FT,TRACED0/SAI1_SD_B/EVENTOUT,
0,0,0,0,B1,3,PE4,I/O,FT,TRACED1/SAI1_FS_A/EVENTOUT,
0,0,0,0,C2,4,PE5,I/O,FT,TRACED2/SAI1_SCK_A/TIM9_CH1/EVENTOUT,
0,0,0,0,D2,5,PE6,I/O,FT,TRACED3/SAI1_SD_A/SAI2_MCLK_B/EVENTOUT,
0,0,0,0,D3,0,VSS,S,,,
0,0,0,0,C4,0,VDD,S,,,
0,0,0,0,E2,6,VBAT,S,,,
0,0,0,0,C1,7,PC13-ANTI_TAMP,I/O,FT,EVENTOUT,RTC_TAMP1/RTC_OUT/RTC_TS
0,0,0,0,D1,8,PC14-OSC32_IN(PC14),I/O,FT,EVENTOUT,OSC32_IN
0,0,0,0,E1,9,PC15-OSC32_OUT(PC15),I/O,FT,EVENTOUT,OSC32_OUT
0,0,0,0,0,10,PF0,I/O,FT,-,FMC_A0/I2C2_SDA
0,0,0,0,0,11,PF1,I/O,FT,-,FMC_A1/I2C2_SCL
0,0,0,0,0,12,PF2,I/O,FT,-,FMC_A2/I2C2_SMBA
0,0,0,0,0,13,PF3,I/O,FT,-,FMC_A3
0,0,0,0,0,14,PF4,I/O,FT,-,FMC_A4
0,0,0,0,0,15,PF5,I/O,FT,SPI5_NSS/I2S5_WS/EVENTOUT,FMC_A5
0,0,0,0,F2,0,VSS,S,,,
0,0,0,0,G2,0,VDD,S,,,
0,0,0,0,0,18,PF6,I/O,FT,SPI5_NSS/I2S5_WS/TIM10_CH1/EVENTOUT,FMC_NIORD
0,0,0,0,0,19,PF7,I/O,FT,SPI5_SCK/I2S5_CK/EVENTOUT,FMC_NREG
0,0,0,0,0,20,PF8,I/O,FT,SPI5_MISO/EVENTOUT,FMC_NIOWR
0,0,0,0,0,21,PF9,I/O,FT,SPI5_MOSI/I2S5_SD/EVENTOUT,FMC_CD
0,0,0,0,0,22,PF10,I/O,FT,-,FMC_INTR
0,0,0,0,F1,23,PH0-OSC_IN(PH0),I/O,FT,EVENTOUT,OSC_IN
0,0,0,0,G1,24,PH1-OSC_OUT(PH1),I/O,FT,EVENTOUT,OSC_OUT
0,0,0,0,H2,25,NRST,I/O,RST,EVENTOUT,
0,0,0,0,H1,26,PC0,I/O,FT,EVENTOUT,ADC3_IN10/ADC1_IN10
0,0,0,0,J2,27,PC1,I/O,FT,SAI1_SD_A/DFSDM1_CKIN4/EVENTOUT,ADC3_IN11/ADC1_IN11
0,0,0,0,J3,28,PC2,I/O,FT,SPI2_MISO/I2S2ext_SD/DFSDM1_CKIN1/EVENTOUT,ADC3_IN12/ADC1_IN12
0,0,0,0,K2,29,PC3,I/O,FT,SPI2_MOSI/I2S2_SD/DFSDM1_DATIN1/EVENTOUT,ADC3_IN13/ADC1_IN13
0,0,0,0,0,0,VDD,S,,,
0,0,0,0,0,0,VSSA-VREF-,S,,,
0,0,0,0,0,0,VDDA-VREF+,S,,,
0,0,0,0,L2,34,PA0-WKUP(PA0),I/O,FT,TIM2_CH1/TIM2_ETR/TIM5_CH1/TIM8_ETR/USART2_CTS/UART4_TX/SAI2_SD_B/ETH_MII_CRS/EVENTOUT,ADC1_IN0/ADC2_IN0/ADC3_IN0/WKUP
0,0,0,0,M2,35,PA1,I/O,FT,TIM2_CH2/TIM5_CH2/USART2_RTS/UART4_RX/QUADSPI_BK1_IO3/SAI2_MCLK_B/ETH_MII_RX_CLK/ETH_RMII_REF_CLK/LCD_R2/EVENTOUT,ADC1_IN1/ADC2_IN1/ADC3_IN1
0,0,0,0,K3,36,PA2,I/O,FT,TIM2_CH3/TIM5_CH3/TIM9_CH1/USART2_TX/SAI2_SCK_B/ETH_MDIO/MDIOS_MDIO/LCD_R1/EVENTOUT,ADC1_IN2/ADC2_IN2/ADC3_IN2/WKUP2
0,0,0,0,L3,37,PA3,I/O,FT,TIM2_CH4/TIM5_CH4/TIM9_CH2/USART2_RX/LCD_B2/OTG_HS_ULPI_D0/ETH_MII_COL/LCD_B5/EVENTOUT,ADC1_IN3/ADC2_IN3/ADC3_IN3
0,0,0,0,0,38,VSS,S,,,
0,0,0,0,0,39,VDD,S,,,
0,0,0,0,0,0,BYPASS_REG,I,FT,,
0,0,0,0,M3,40,PA4,I/O,TTa,SPI1_NSS/SPI3_NSS/I2S3_WS/USART2_CK/SPI6_NSS/OTG_HS_SOF/DCMI_HSYNC/LCD_VSYNC/EVENTOUT,ADC1_IN4/ADC2_IN4/DAC_OUT1
0,0,0,0,K4,41,PA5,I/O,TTa,SPI1_SCK/I2S1_CK/TIM2_CH1/TIM2_ETR/TIM8_CH1N/SPI6_SCK/OTG_HS_ULPI_CK/LCD_R4/EVENTOUT,ADC1_IN5/ADC2_IN5/DAC_OUT2
0,0,0,0,L4,42,PA6,I/O,FT,SPI1_MISO/I2S1ext_SD/TIM1_BKIN/TIM3_CH1/TIM8_BKIN/SPI6_MISO/TIM13_CH1/MDIOS_MDC/DCMI_PIXCLK/LCD_G2/EVENTOUT,ADC1_IN6/ADC2_IN6
0,0,0,0,M4,43,PA7,I/O,FT,SPI1_MOSI/I2S1_SD/TIM1_CH1N/TIM3_CH2/TIM8_CH1N/SPI6_MOSI/TIM14_CH1/ETH_MII_RX_DV/ETH_RMII_CRS_DV/FMC_SDNWE/EVENTOUT,ADC1_IN7/ADC2_IN7
0,0,0,0,K5,44,PC4,I/O,FT,DFSDM1_CKIN2/I2S1_MCK/SPDIF_RX2/ETH_MII_RXD0/ETH_RMII_RXD0/FMC_SDNE0/EVENTOUT,ADC1_IN14/ADC2_IN14
0,0,0,0,L5,45,PC5,I/O,FT,DFSDM1_DATIN2/SPDIF_RX3/ETH_MII_RXD1/ETH_RMII_RXD1/FMC_SDCKE0/EVENTOUT,ADC1_IN15/ADC2_IN15
