,AF00,AF01,AF02,AF03,AF04,AF05,AF06,AF07,AF08,AF09,AF10,AF11,AF12,AF13,AF14,AF15
PA0,-,TIM2_CH1/TIM2_ETR,TIM5_CH1,TIM8_ETR,-,-,-,USART2_CTS,UART4_TX,-,SAI2_SD_B,ETH_MII_CRS,-,-,-,EVENTOUT
PA1,-,TIM2_CH2,TIM5_CH2,-,-,-,-,USART2_RTS,UART4_RX,QUADSPI_BK1_IO3,SAI2_MCLK_B,ETH_MII_RX_CLK/ETH_RMII_REF_CLK,-,-,LCD_R2,EVENTOUT
PA2,-,TIM2_CH3,TIM5_CH3,TIM9_CH1,-,-,-,USART2_TX,SAI2_SCK_B,-,ETH_MDIO,MDIOS_MDIO,-,-,LCD_R1,EVENTOUT
PA3,-,TIM2_CH4,TIM5_CH4,TIM9_CH2,-,-,-,USART2_RX,LCD_B2,OTG_HS_ULPI_D0,ETH_MII_COL,-,-,-,LCD_B5,EVENTOUT
PA4,-,-,-,-,-,SPI1_NSS/SPI3_NSS/I2S3_WS,USART2_CK,SPI6_NSS,-,OTG_HS_SOF,-,DCMI_HSYNC,-,LCD_VSYNC,EVENTOUT
PA5,-,TIM2_CH1/TIM2_ETR,-,-,TIM8_CH1N,SPI1_SCK/I2S1_CK,-,-,SPI6_SCK,OTG_HS_ULPI_CK,-,-,-,-,LCD_R4,EVENTOUT
PA6,-,TIM1_BKIN,TIM3_CH1,TIM8_BKIN,-,SPI1_MISO,-,-,SPI6_MISO,TIM13_CH1,-,MDIOS_MDC,DCMI_PIXCLK,-,LCD_G2,EVENTOUT
PA7,-,TIM1_CH1N,TIM3_CH2,TIM8_CH1N,-,SPI1_MOSI/I2S1_SD,-,-,SPI6_MOSI,TIM14_CH1,ETH_MII_RX_DV/ETH_RMII_CRS_DV,FMC_SDNWE,-,-,-,EVENTOUT
PA8,MCO_1,TIM1_CH1,-,TIM8_BKIN,I2C3_SCL,-,-,USART1_CK,-,-,OTG_FS_SOF,-,-,-,LCD_B3/LCD_R6,EVENTOUT
PA9,-,TIM1_CH2,-,TIM8_CH1N,I2C3_SMBA,SPI2_SCK/I2S2_CK,-,USART1_TX,-,-,OTG_FS_VBUS,-,DCMI_D0,-,LCD_R5,EVENTOUT
PA10,-,TIM1_CH3,-,TIM8_CH2N,-,-,-,USART1_RX,-,-,OTG_FS_ID,-,DCMI_D1,-,LCD_B4,EVENTOUT
PA11,-,TIM1_CH4,-,TIM8_CH3N,-,SPI4_NSS,-,USART1_CTS,USART6_TX,-,OTG_FS_DM,-,-,-,LCD_R4,EVENTOUT
PA12,-,TIM1_ETR,-,TIM8_CH4,-,SPI4_SCK,-,USART1_RTS,USART6_RX,-,OTG_FS_DP,-,-,-,LCD_R5,EVENTOUT
PA13,JTMS_SWDIO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PA14,JTCK_SWCLK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PA15,JTDI,TIM2_CH1/TIM2_ETR,-,HDMI_CEC,-,SPI1_NSS,SPI3_NSS/I2S3_WS,SPI6_NSS,UART4_RTS,-,CAN3_TX,-,-,-,-,EVENTOUT
PB0,-,TIM1_CH2N,TIM3_CH3,TIM8_CH2N,-,-,DFSDM1_CKOUT,UART4_CTS,-,OTG_HS_ULPI_D1,ETH_MII_RXD2,-,-,LCD_R3/LCD_G1,EVENTOUT
PB1,-,TIM1_CH3N,TIM3_CH4,TIM8_CH3N,-,-,DFSDM1_DATIN1,-,-,OTG_HS_ULPI_D2,ETH_MII_RXD3,-,-,LCD_R6/LCD_G0,EVENTOUT
PB2,-,-,-,-,-,SAI1_SD_A,SPI3_MOSI/I2S3_SD,-,-,QUADSPI_CLK,DFSDM1_CKIN1,-,-,-,-,EVENTOUT
PB3,JTDO-TRACESWO,TIM2_CH2,-,-,-,SPI1_SCK,SPI3_SCK/I2S3_CK,SPI6_SCK,UART4_RX,-,SDMMC2_D2,CAN3_RX,UART7_RX,-,-,EVENTOUT
PB4,NJTRST,-,TIM3_CH1,-,-,SPI1_MISO,SPI3_MISO,SPI6_MISO,-,-,SDMMC2_D3,CAN3_TX,UART7_TX,-,-,EVENTOUT
