LQFP64,WLCSP72,WLCSP81,LQFP100,UFBGA132,LQFP144,Name,Type,IO,Notes,Alternate,Additional
,,,1,B2,1,PE2,I/O,FT_l,,TRACECK/TIM3_ETR/TSC_G7_IO1/LCD_SEG38/FMC_A23/SAI1_MCLK_A/EVENTOUT,
,,,2,A1,2,PE3,I/O,FT_l,,TRACED0/TIM3_CH1/TSC_G7_IO2/LCD_SEG39/FMC_A19/SAI1_SD_B/EVENTOUT,
,,,3,B1,3,PE4,I/O,FT,,TRACED1/TIM3_CH2/DFSDM_DATIN3/TSC_G7_IO3/FMC_A20/SAI1_FS_A/EVENTOUT,
,,,4,C2,4,PE5,I/O,FT,,TRACED2/TIM3_CH3/DFSDM_CKIN3/TSC_G7_IO4/FMC_A21/SAI1_SCK_A/EVENTOUT,
,,,5,D2,5,PE6,I/O,FT,,TRACED3/TIM3_CH4/FMC_A22/SAI1_SD_A/EVENTOUT,RTC_TAMP3/WKUP3
1,B9,B9,6,E2,6,VBAT,S,,,,
2,B8,B8,7,C1,7,PC13,I/O,FT,,EVENTOUT,RTC_TAMP1/RTC_TS/RTC_OUT/WKUP2
3,C9,C9,8,D1,8,PC14-OSC32_IN(PC14),I/O,FT,,EVENTOUT,OSC32_IN
4,C8,C8,9,E1,9,PC15-OSC32_OUT(PC15),I/O,FT,,EVENTOUT,OSC32_OUT
,,,,D6,10,PF0,I/O,FT_f,,I2C2_SDA/FMC_A0/EVENTOUT,
,,,,D5,11,PF1,I/O,FT_f,,I2C2_SCL/FMC_A1/EVENTOUT,
,,,,D4,12,PF2,I/O,FT,,I2C2_SMBA/FMC_A2/EVENTOUT,
,,,,E4,13,PF3,I/O,FT_a,,FMC_A3/EVENTOUT,ADC3_IN6
,,,,F3,14,PF4,I/O,FT_a,,FMC_A4/EVENTOUT,ADC3_IN7
,,,,F4,15,PF5,I/O,FT_a,,FMC_A5/EVENTOUT,ADC3_IN8
,,,10,F2,16,VSS,S,,,,
,,,11,G2,17,VDD,S,,,,
,,,,,18,PF6,I/O,FT_a,,TIM5_ETR/TIM5_CH1/SAI1_SD_B/EVENTOUT,ADC3_IN9
,,,,,19,PF7,I/O,FT_a,,TIM5_CH2/SAI1_MCLK_B/EVENTOUT,ADC3_IN10
,,,,,20,PF8,I/O,FT_a,,TIM5_CH3/SAI1_SCK_B/EVENTOUT,ADC3_IN11
,,,,,21,PF9,I/O,FT_a,,TIM5_CH4/SAI1_FS_B/TIM15_CH1/EVENTOUT,ADC3_IN12
,,,,,22,PF10,I/O,FT_a,,TIM15_CH2/EVENTOUT,ADC3_IN13
5,D9,D9,12,F1,23,PH0-OSC_IN(PH0),I/O,FT,,EVENTOUT,OSC_IN
6,D8,D8,13,G1,24,PH1-OSC_OUT(PH1),I/O,FT,,EVENTOUT,OSC_OUT
7,E9,E9,14,H2,25,NRST,I/O,RST,,,
8,F9,F9,15,H1,26,PC0,I/O,FT_fla,,LPTIM1_IN1/I2C3_SCL/DFSDM_DATIN4/LPUART1_RX/LCD_SEG18/LPTIM2_IN1/EVENTOUT,ADC123_IN1
9,F8,F8,16,J2,27,PC1,I/O,FT_fla,,LPTIM1_OUT/I2C3_SDA/DFSDM_CKIN4/LPUART1_TX/LCD_SEG19/EVENTOUT,ADC123_IN2
10,F7,F7,17,J3,28,PC2,I/O,FT_la,,LPTIM1_IN2/SPI2_MISO/DFSDM_CKOUT/LCD_SEG20/EVENTOUT,ADC123_IN3
11,G7,G7,18,K2,29,PC3,I/O,FT_a,,LPTIM1_ETR/SPI2_MOSI/LCD_VLCD/SAI1_SD_A/LPTIM2_ETR/EVENTOUT,ADC123_IN4
,,,19,,30,VSSA,S,,,,
,,,20,,31,VREF,S,,,,
12,G9,G9,,J1,,VSSA/VREF,,,,,
,G8,G8,21,L1,32,VREF+,S,,,,VREFBUF_OUT
,H9,H9,22,M1,33,VDDA,S,,,,
13,,,,,,VDDA/VREF+,S,,,,
14,H8,H8,23,L2,34,PA0,I/O,FT_a,,TIM2_CH1/TIM5_CH1/TIM8_ETR/USART2_CTS/UART4_TX/SAI1_EXTCLK/TIM2_ETR/EVENTOUT,OPAMP1_VINP/ADC12_IN5/RTC_TAMP2/WKUP1
,,,,M3,,OPAMP1_VINM,I,TT,,,
15,G4,G4,24,M2,35,PA1,I/O,FT_la,,TIM2_CH2/TIM5_CH2/USART2_RTS_DE/UART4_RX/LCD_SEG0/TIM15_CH1N/EVENTOUT,OPAMP1_VINM/ADC12_IN6
16,G6,G6,25,K3,36,PA2,I/O,FT_la,,TIM2_CH3/TIM5_CH3/USART2_TX/LCD_SEG1/SAI2_EXTCLK/TIM15_CH1/EVENTOUT,ADC12_IN7/WKUP4/LSCO
17,H7,H7,26,L3,37,PA3,I/O,TT,,TIM2_CH4/TIM5_CH4/USART2_RX/LCD_SEG2/TIM15_CH2/EVENTOUT,OPAMP1_VOUT/ADC12_IN8
18,J9,J9,27,E3,38,VSS,S,,,,
19,J8,J8,28,H3,39,VDD,S,,,,
20,G5,G5,29,J4,40,PA4,I/O,TT_a,,SPI1_NSS/SPI3_NSS/USART2_CK/SAI1_FS_B/LPTIM2_OUT/EVENTOUT,ADC12_IN9/DAC1_OUT1
21,H6,H6,30,K4,41,PA5,I/O,TT_a,,TIM2_CH1/TIM2_ETR/TIM8_CH1N/SPI1_SCK/LPTIM2_ETR/EVENTOUT,ADC12_IN10/DAC1_OUT2
22,H5,H5,31,L4,42,PA6,I/O,FT_la,,TIM1_BKIN/TIM3_CH1/TIM8_BKIN/SPI1_MISO/USART3_CTS/QUADSPI_BK1_IO3/LCD_SEG3/TIM1_BKIN_COMP2/TIM8_BKIN_COMP2/TIM16_CH1/EVENTOUT,OPAMP2_VINP/ADC12_IN11
,,,,M4,,OPAMP2_VINM,I,TT,,,
23,H4,H4,32,J5,43,PA7,I/O,FT_la,,TIM1_CH1N/TIM3_CH2/TIM8_CH1N/SPI1_MOSI/QUADSPI_BK1_IO2/LCD_SEG4/TIM17_CH1/EVENTOUT,OPAMP2_VINM/ADC12_IN12
24,J7,J7,33,K5,44,PC4,I/O,FT_la,,USART3_TX/LCD_SEG22/EVENTOUT,COMP1_INM/ADC12_IN13
25,J6,J6,34,L5,45,PC5,I/O,FT_la,,USART3_RX/LCD_SEG23/EVENTOUT,COMP1_INP/ADC12_IN14/WKUP5
26,J5,J5,35,M5,46,PB0,I/O,TT_la,,TIM1_CH2N/TIM3_CH3/TIM8_CH2N/USART3_CK/QUADSPI_BK1_IO1/LCD_SEG5/COMP1_OUT/EVENTOUT,OPAMP2_VOUT/ADC12_IN15
27,J4,J4,36,M6,47,PB1,I/O,FT_la,,TIM1_CH3N/TIM3_CH4/TIM8_CH3N/DFSDM_DATIN0/USART3_RTS_DE/QUADSPI_BK1_IO0/LCD_SEG6/LPTIM2_IN1/EVENTOUT,COMP1_INM/ADC12_IN16
28,J3,J3,37,L6,48,PB2,I/O,FT_a,,RTC_OUT/LPTIM1_OUT/I2C3_SMBA/DFSDM_CKIN0/EVENTOUT,COMP1_INP
,,,,K6,49,PF11,I/O,FT,,EVENTOUT,
,,,,J7,50,PF12,I/O,FT,,FMC_A6/EVENTOUT,
,,,,,51,VSS,S,,,,
,,,,,52,VDD,S,,,,
,,,,K7,53,PF13,I/O,FT,,DFSDM_DATIN6/FMC_A7/EVENTOUT,
,,,,J8,54,PF14,I/O,FT,,DFSDM_CKIN6/TSC_G8_IO1/FMC_A8/EVENTOUT,
,,,,J9,55,PF15,I/O,FT,,TSC_G8_IO2/FMC_A9/EVENTOUT,
,,,,H9,56,PG0,I/O,FT,,TSC_G8_IO3/FMC_A10/EVENTOUT,
,,,,G9,57,PG1,I/O,FT,,TSC_G8_IO4/FMC_A11/EVENTOUT,
,,E6,38,M7,58,PE7,I/O,FT,,TIM1_ETR/DFSDM_DATIN2/FMC_D4/SAI1_SD_B/EVENTOUT,
,,F6,39,L7,59,PE8,I/O,FT,,TIM1_CH1N/DFSDM_CKIN2/FMC_D5/SAI1_SCK_B/EVENTOUT,
,,,40,M8,60,PE9,I/O,FT,,TIM1_CH1/DFSDM_CKOUT/FMC_D6/SAI1_FS_B/EVENTOUT,
,,,,F6,61,VSS,S,,,,
,,,,G6,62,VDD,S,,,,
,,,41,L8,63,PE10,I/O,FT,,TIM1_CH2N/DFSDM_DATIN4/TSC_G5_IO1/QUADSPI_CLK/FMC_D7/SAI1_MCLK_B/EVENTOUT,
,,,42,M9,64,PE11,I/O,FT,,TIM1_CH2/DFSDM_CKIN4/TSC_G5_IO2/QUADSPI_NCS/FMC_D8/EVENTOUT,
,,,43,L9,65,PE12,I/O,FT,,TIM1_CH3N/SPI1_NSS/DFSDM_DATIN5/TSC_G5_IO3/QUADSPI_BK1_IO0/FMC_D9/EVENTOUT,
