LQFP64,WLCSP100,LQFP100,BGA132,UFBGA169,LQFP144,Name,Type,IO,Notes,Alternate,Additional
,,,,C3,,PI11,I/O,FT,,EVENTOUT,
,B9,1,B2,D3,1,PE2,I/O,FT_l,,TRACECK/TIM3_ETR/TSC_G7_IO1/LCD_SEG38/FMC_A23/SAI1_MCLK_A/EVENTOUT,
,B10,2,A1,D2,2,PE3,I/O,FT_l,,TRACED0/TIM3_CH1/TSC_G7_IO2/LCD_SEG39/FMC_A19/SAI1_SD_B/EVENTOUT,
,C8,3,B1,D1,3,PE4,I/O,FT,,TRACED1/TIM3_CH2/DFSDM1_DATIN3/TSC_G7_IO3/DCMI_D4/FMC_A20/SAI1_FS_A/EVENTOUT,
,D8,4,C2,E4,4,PE5,I/O,FT,,TRACED2/TIM3_CH3/DFSDM1_CKIN3/TSC_G7_IO4/DCMI_D6/FMC_A21/SAI1_SCK_A/EVENTOUT,
,E7,5,D2,E3,5,PE6,I/O,FT,,TRACED3/TIM3_CH4/DCMI_D7/FMC_A22/SAI1_SD_A/EVENTOUT,RTC_TAMP3/WKUP3
1,C10,6,E2,E2,6,VBAT,S,,,,
2,C9,7,C1,E1,7,PC13,I/O,FT,,EVENTOUT,RTC_TAMP1/RTC_TS/RTC_OUT/WKUP2
3,D10,8,D1,F1,8,PC14-OSC32_IN (PC14),I/O,FT,,EVENTOUT,OSC32_IN
4,E10,9,E1,G1,9,PC15-OSC32_OUT (PC15),I/O,FT,,EVENTOUT,OSC32_OUT
,,,D6,F5,10,PF0,I/O,FT_f,,I2C2_SDA/FMC_A0/EVENTOUT,
,,,D5,F4,11,PF1,I/O,FT_f,,I2C2_SCL/FMC_A1/EVENTOUT,
,,,D4,F3,12,PF2,I/O,FT,,I2C2_SMBA/FMC_A2/EVENTOUT,
,,,E4,G3,13,PF3,I/O,FT_a,,FMC_A3/EVENTOUT,ADC3_IN6
,,,F3,G4,14,PF4,I/O,FT_a,,FMC_A4/EVENTOUT,ADC3_IN7
,,,F4,G5,15,PF5,I/O,FT_a,,FMC_A5/EVENTOUT,ADC3_IN8
,D9,10,F2,F2,16,VSS,S,,,,
,E9,11,G2,G2,17,VDD,S,,,,
,,,,,18,PF6,I/O,FT_a,,TIM5_ETR/TIM5_CH1/QUADSPI_BK1_IO3/SAI1_SD_B/EVENTOUT,ADC3_IN9
,,,,,19,PF7,I/O,FT_a,,TIM5_CH2/QUADSPI_BK1_IO2/SAI1_MCLK_B/EVENTOUT,ADC3_IN10
,,,,,20,PF8,I/O,FT_a,,TIM5_CH3/QUADSPI_BK1_IO0/SAI1_SCK_B/EVENTOUT,ADC3_IN11
,,,,,21,PF9,I/O,FT_a,,TIM5_CH4/QUADSPI_BK1_IO1/SAI1_FS_B/TIM15_CH1/EVENTOUT,ADC3_IN12
,,,,H4,22,PF10,I/O,FT_a,,QUADSPI_CLK/DCMI_D11/TIM15_CH2/EVENTOUT,ADC3_IN13
5,F10,12,F1,H1,23,PH0-OSC_IN (PH0),I/O,FT,,EVENTOUT,OSC_IN
6,G10,13,G1,J1,24,PH1-OSC_OUT (PH1),I/O,FT,,EVENTOUT,OSC_OUT
7,E8,14,H2,H3,25,NRST,I-O,RST,,,
8,F9,15,H1,J2,26,PC0,I/O,FT_fla,,LPTIM1_IN1/I2C4_SCL/I2C3_SCL/DFSDM1_DATIN4/LPUART1_RX/LCD_SEG18/LPTIM2_IN1/EVENTOUT,ADC123_IN1
9,F8,16,J2,J3,27,PC1,I/O,FT_fla,,TRACED0/LPTIM1_OUT/I2C4_SDA/SPI2_MOSI/I2C3_SDA/DFSDM1_CKIN4/LPUART1_TX/QUADSPI_BK2_IO0/LCD_SEG19/SAI1_SD_A/EVENTOUT,ADC123_IN2
10,H10,17,J3,J4,28,PC2,I/O,FT_la,,LPTIM1_IN2/SPI2_MISO/DFSDM1_CKOUT/QUADSPI_BK2_IO1/LCD_SEG20/EVENTOUT,ADC123_IN3
11,F7,18,K2,K1,29,PC3,I/O,FT_a,,LPTIM1_ETR/SPI2_MOSI/QUADSPI_BK2_IO2/LCD_VLCD/SAI1_SD_A/LPTIM2_ETR/EVENTOUT,ADC123_IN4
,H9,19,,,30,VSSA,S,,,,
,G8,20,,,31,VREF-,S,,,,
12,,,J1,K2,,VSSA/VREF-,S,,,,
,G7,21,L1,L1,32,VREF+,S,,,,VREFBUF_OUT
,J10,22,M1,L2,33,VDDA,S,,,,
13,,,,,,VDDA/VREF+,,,,,
14,G9,23,L2,K3,34,PA0,I/O,FT_a,,TIM2_CH1/TIM5_CH1/TIM8_ETR/USART2_CTS/UART4_TX/SAI1_EXTCLK/TIM2_ETR/EVENTOUT,OPAMP1_VINP/ADC12_IN5/RTC_TAMP2/WKUP1
,,,M3,M1,,OPAMP1_VINM,I,TT,,,
15,H8,24,M2,N2,35,PA1,I/O,FT_la,,TIM2_CH2/TIM5_CH2/I2C1_SMBA/SPI1_SCK/USART2_RTS_DE/UART4_RX/LCD_SEG0/TIM15_CH1N/EVENTOUT,OPAMP1_VINM/ADC12_IN6
