name,return_type,params,prototype,usage_class,usage_count,stm32,nrf5x,esp32,files
jshReset,void,,void jshReset(),used by core/libs,13,yes,yes,yes,libs/pipboy/jswrap_pipboy.c | src/jshardware.h | src/jsinteractive.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c
jshIdle,void,,void jshIdle(),used by core/libs,12,yes,yes,yes,src/jshardware.h | src/jsinteractive.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshBusyIdle,void,,void jshBusyIdle(),used by core/libs,8,,yes,,src/jsdevices.c | src/jshardware.h | src/jshardware_common.c | targets/emscripten/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c
jshSleep,bool,JsSysTime timeUntilWake,bool jshSleep(JsSysTime timeUntilWake),used by core/libs,13,yes,yes,yes,libs/banglejs/jswrap_bangle.c | src/jshardware.h | src/jsinteractive.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c
jshKill,void,,void jshKill(),used by core/libs,18,yes,yes,yes,libs/banglejs/jswrap_bangle.c | src/jshardware.h | src/jswrap_espruino.c | targets/emscripten/jshardware.c | targets/emscripten/main.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/linux/main.c | targets/nrf5x/jshardware.c | targets/nrf5x/main.c | targets/rp2040/docs/archive/jshardware_function_matrix.md
jshGetSerialNumber,int,"unsigned char *data, int maxChars","int jshGetSerialNumber(unsigned char *data, int maxChars)",used by core/libs,12,yes,yes,yes,src/jshardware.h | src/jswrap_interactive.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshIsUSBSERIALConnected,bool,,bool jshIsUSBSERIALConnected(),used by core/libs,16,yes,yes,yes,src/jsdevices.c | src/jshardware.h | src/jsinteractive.c | src/jswrap_serial.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c
jshGetSystemTime,JsSysTime,,JsSysTime jshGetSystemTime(),used by core/libs,35,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/filesystem/fat_sd/spi_diskio.c | libs/misc/heartrate.c | libs/misc/heartrate_vc31_binary.c | libs/misc/hrm_emulated.c | libs/network/cc3000/evnt_handler.c | libs/network/esp8266/jswrap_esp8266_network.c | libs/network/wiznet/DHCP/dhcp.c | libs/network/wiznet/DNS/dns.c | libs/network/wiznet/network_wiznet.c | libs/pipboy/jswrap_pipboy.c | libs/trigger/jswrap_trigger.c
jshSetSystemTime,void,JsSysTime time,void jshSetSystemTime(JsSysTime time),used by core/libs,13,yes,yes,yes,src/jshardware.h | src/jswrap_interactive.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/bluetooth.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c
jshGetTimeFromMilliseconds,JsSysTime,JsVarFloat ms,JsSysTime jshGetTimeFromMilliseconds(JsVarFloat ms),used by core/libs,35,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/filesystem/fat_sd/spi_diskio.c | libs/microbit/jswrap_microbit.c | libs/misc/hrm_analog.c | libs/misc/hrm_emulated.c | libs/network/cc3000/evnt_handler.c | libs/network/wiznet/DHCP/dhcp.h | libs/network/wiznet/DNS/dns.c | libs/network/wiznet/network_wiznet.c | libs/pipboy/jswrap_pipboy.c | libs/puckjs/jswrap_puck.c | libs/swdcon/jswrap_swdcon.c
